tramite_tipo;ID_Denuncia;tramite_fecha;fecha_inscripcion_inicial;registro_seccional_codigo;registro_seccional_descripcion;registro_seccional_provincia;automotor_origen;automotor_anio_modelo;automotor_tipo_codigo;automotor_tipo_descripcion;automotor_marca_codigo;automotor_marca_descripcion;automotor_modelo_codigo;automotor_modelo_descripcion;automotor_uso_codigo;automotor_uso_descripcion;titular_tipo_persona;titular_domicilio_localidad;titular_domicilio_provincia;titular_genero;titular_anio_nacimiento;titular_pais_nacimiento;titular_porcentaje_titularidad;titular_domicilio_provincia_id;titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO;DEN-11324;24/1/2024;22/1/1993;4055;CORDOBA;Córdoba;Nacional;1993;20;PICK UP;19;FORD;15;F-100 NAFTA;1;Privado;Física;CORDOBA;CORDOBA;Masculino;1962;ARGENTINA;100;14;ARG
DENUNCIA DE ROBO O HURTO;DEN-7651;31/1/2024;19/2/2003;4001;ALTA GRACIA;Córdoba;Nacional;2003;20;PICK UP;19;FORD;PH;RANGER XLT C/C 4X2 2.8L D;1;Privado;Física;TOLEDO;CORDOBA;Masculino;1979;ARGENTINA;100;14;ARG
DENUNCIA DE ROBO O HURTO;DEN-2698;5/1/2024;16/8/2016;1307;LANUS;Buenos Aires;Nacional;2016;20;PICK UP;53;VOLKSWAGEN;2P;AMAROK DC 2.0L TDI 180 CV 4X4 269;1;Privado;Física;REMEDIOS DE ESCALADA;BUENOS AIRES;Masculino;1955;ARGENTINA;50;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-1532;8/1/2024;29/10/2019;18002;SAN JUAN;San Juan;Nacional;2019;20;PICK UP;68;TOYOTA;BA;HILUX 4X4 D/C GR-S 2.8 TDI 6 A/T;1;Privado;Física;VILLA ABERASTAIN;SAN JUAN;Masculino;1953;ARGENTINA;100;70;ARG
DENUNCIA DE ROBO O HURTO;DEN-6406;10/1/2024;27/6/2006;2080;CAPITAL FEDERAL;Ciudad Autónoma de Bs.As.;Nacional;2006;20;PICK UP;68;TOYOTA;26;HILUX 4X4 CABINA DOBLE DX 2.5 TD;1;Privado;Física;C.AUTONOMA DE BS.AS;C.AUTONOMA DE BS.AS;Femenino;1980;ARGENTINA;100;2;ARG
DENUNCIA DE ROBO O HURTO;DEN-7005;2/1/2024;28/10/2004;2081;CAPITAL FEDERAL;Ciudad Autónoma de Bs.As.;Nacional;2004;20;PICK UP;19;FORD;SE;RANGER DC 4X4 XL PLUS 2.8L D;1;Privado;Física;C.AUTONOMA DE BS.AS;C.AUTONOMA DE BS.AS;Masculino;1969;ARGENTINA;100;2;ARG
DENUNCIA DE ROBO O HURTO;DEN-4035;29/1/2024;11/1/2013;1317;ADROGUE;Buenos Aires;Nacional;2013;20;PICK UP;19;FORD;WU;RANGER2 DC 4X4 XLS 3.2L D;1;Privado;Física;GLEW;BUENOS AIRES;Masculino;1968;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-6502;15/1/2024;28/3/2006;1318;BERAZATEGUI;Buenos Aires;Nacional;2006;20;PICK UP;19;FORD;TU;RANGER DC 4X2 XL PLUS 3.0L D;1;Privado;Física;JUAN MARIA GUTIERREZ;BUENOS AIRES;Femenino;1969;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-6495;29/1/2024;18/4/2006;13032;MAIPU;Mendoza;Nacional;2006;20;PICK UP;19;FORD;RY;RANGER CS 4X2 XL PLUS 2.8L D;1;Privado;Física;FRAY LUIS BELTRAN;MENDOZA;Masculino;1987;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-3276;11/1/2024;22/1/2015;1319;LA MATANZA;Buenos Aires;Nacional;2015;20;PICK UP;68;TOYOTA;79;HILUX 4X4 C/D SR 3.0 TDI - C3;1;Privado;Física;I CASANOVA;BUENOS AIRES;Masculino;1970;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-1609;22/1/2024;27/8/2019;16012;GENERAL ROCA Nº 2;Río Negro;Nacional;2017;20;PICK UP;68;TOYOTA;AA;HILUX 4X2 D/C SRV PACK 2.8 TDI 6 M/T;1;Privado;Física;GENERAL ROCA;RIO NEGRO;No identificado;1992;ARGENTINA;100;62;ARG
DENUNCIA DE ROBO O HURTO;DEN-11291;11/1/2024;11/2/1993;13033;MAIPU;Mendoza;Nacional;1993;20;PICK UP;34;PEUGEOT;08;PUP 504 GD;1;Privado;Física;COQUIMBITO;MENDOZA;No identificado;1998;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-8664;8/1/2024;19/4/2000;13034;GODOY CRUZ;Mendoza;Nacional;2000;20;PICK UP;19;FORD;KK;RANGER XLT C/C 4X2 D;1;Privado;Física;GODOY CRUZ;MENDOZA;No identificado;1975;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-9050;4/1/2024;26/3/1999;1295;EZEIZA;Buenos Aires;Nacional;1999;20;PICK UP;19;FORD;FB;RANGER XL C/C 4X4 D 551;1;Privado;Física;CARLOS SPEGAZZINI;BUENOS AIRES;Femenino;1992;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-3111;19/1/2024;14/7/2015;1287;ITUZAINGO;Buenos Aires;Nacional;2015;20;PICK UP;68;TOYOTA;82;HILUX 4X4 C/D SRV 3.0 TDI 5AT CUERO - A4;1;Privado;Física;VILLA UDAONDO;BUENOS AIRES;Masculino;1944;ITALIA;100;6;ITA
DENUNCIA DE ROBO O HURTO;DEN-7389;19/1/2024;27/10/2003;1288;MORENO;Buenos Aires;Nacional;2003;20;PICK UP;29;MERCEDES BENZ;BA;SPRINTER 311 CDI/CH 3550;1;Privado;Física;PASO DEL REY;BUENOS AIRES;Femenino;1961;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-1113;23/1/2024;5/1/2021;6004;MACHAGAI;Chaco;Nacional;2021;20;PICK UP;68;TOYOTA;CA;HILUX 4X2 DC SRX 2.8 TDI 6 AT;1;Privado;Física;MACHAGAI;CHACO;Masculino;1993;ARGENTINA;100;22;ARG
DENUNCIA DE ROBO O HURTO;DEN-864;29/1/2024;17/9/2021;4063;CORDOBA;Córdoba;Nacional;2021;20;PICK UP;AC;NISSAN;09;FRONTIER CD LE 2.3 D 4X4 AT;1;Privado;Física;CORDOBA CAPITAL;CORDOBA;Femenino;1981;ARGENTINA;100;14;ARG
DENUNCIA DE ROBO O HURTO;DEN-2316;18/1/2024;15/9/2017;14012;SAN VICENTE;Misiones;Nacional;2017;20;PICK UP;68;TOYOTA;96;HILUX 4X4 D/C SR 2.8 TDI 6 M/T;1;Privado;Física;SAN VICENTE;MISIONES;Masculino;1970;ARGENTINA;100;54;ARG
DENUNCIA DE ROBO O HURTO;DEN-4151;25/1/2024;13/9/2012;4045;CORDOBA;Córdoba;Nacional;2012;20;PICK UP;53;VOLKSWAGEN;SY;AMAROK 2.0L TDI 180 CV 147;1;Privado;Física;CORDOBA CAPITAL;CORDOBA;Masculino;1995;ARGENTINA;100;14;ARG
DENUNCIA DE ROBO O HURTO;DEN-6315;3/1/2024;19/9/2006;1291;CAMPANA;Buenos Aires;Nacional;2006;20;PICK UP;68;TOYOTA;24;HILUX 4X2 CABINA DOB SRV 3.0 TDI;1;Privado;Física;CAMPANA;BUENOS AIRES;Femenino;1980;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-9334;11/1/2024;22/6/1998;1291;CAMPANA;Buenos Aires;Nacional;1998;20;PICK UP;68;TOYOTA;01;HILUX 4X2 CABINA SIMPLE STD;1;Privado;Física;CAMPANA;BUENOS AIRES;Masculino;1980;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-1812;16/1/2024;30/1/2019;1292;ALBERTI;Buenos Aires;Nacional;2019;20;PICK UP;19;FORD;ZG;RANGER DC 4X2 XL 2.2L D;1;Privado;Física;ALBERTI;BUENOS AIRES;Masculino;1975;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-431;15/1/2024;10/11/2022;4016;JESUS MARIA;Córdoba;Nacional;2022;20;PICK UP;68;TOYOTA;BG;HILUX 4X4 DC SRV 2.8 TDI 6 AT;1;Privado;Física;COLONIA TIROLESA;CORDOBA;No identificado;1985;ARGENTINA;100;14;ARG
DENUNCIA DE ROBO O HURTO;DEN-2888;12/1/2024;15/2/2016;1295;EZEIZA;Buenos Aires;Nacional;2016;20;PICK UP;53;VOLKSWAGEN;WK;AMAROK 2.0L TDI 180 CV 4X2 554;1;Privado;Física;EZEIZA;BUENOS AIRES;Femenino;1987;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-7355;8/1/2024;19/11/2003;19008;SAN LUIS;San Luis;Nacional;2003;20;PICK UP;68;TOYOTA;16;HILUX 4X4 CABINA DOBLE SRV 3.0 TD;1;Privado;Física;SAN LUIS;SAN LUIS;Masculino;1998;ARGENTINA;100;74;ARG
DENUNCIA DE ROBO O HURTO;DEN-3669;30/1/2024;13/1/2014;1296;MAR DEL PLATA;Buenos Aires;Nacional;2014;20;PICK UP;68;TOYOTA;28;HILUX 4X4 CABINA DOBLE SRV 3.0 TDI;1;Privado;Física;MAR DEL PLATA;BUENOS AIRES;Masculino;1976;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-13097;25/1/2024;17/3/1988;1299;MAR DEL PLATA;Buenos Aires;Nacional;1987;20;PICK UP;19;FORD;11;F-100 D;1;Privado;Física;MAR DEL PLATA;BUENOS AIRES;Masculino;2002;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-3801;12/1/2024;16/8/2013;4035;CORDOBA;Córdoba;Nacional;2013;20;PICK UP;53;VOLKSWAGEN;UM;AMAROK 2.0L TDI 180 CV 4X2 444;1;Privado;Física;CORDOBA CAPITAL;CORDOBA;Masculino;1984;ARGENTINA;100;14;ARG
DENUNCIA DE ROBO O HURTO;DEN-1583;24/1/2024;24/9/2019;20007;PICO TRUNCADO;Santa Cruz;Nacional;2019;20;PICK UP;68;TOYOTA;93;HILUX 4X4 D/C SRX 2.8 TDI 6 M/T;1;Privado;Física;PICO TRUNCADO;SANTA CRUZ;Masculino;1978;ARGENTINA;100;78;ARG
DENUNCIA DE ROBO O HURTO;DEN-9477;17/1/2024;5/2/1998;4030;SAN AGUSTIN;Córdoba;Nacional;1998;20;PICK UP;08;CHEVROLET;49;SILVERADO DLX T.DIESEL M;1;Privado;Física;ATHOS PAMPA;CORDOBA;Masculino;1941;REP. FEDERAL DE ALEMANIA;100;14;DEU
DENUNCIA DE ROBO O HURTO;DEN-3669;25/1/2024;8/1/2014;19008;SAN LUIS;San Luis;Nacional;2014;20;PICK UP;53;VOLKSWAGEN;VJ;AMAROK 2.0L TDI 180 CV 4X4 CD 898;1;Privado;Física;LA PUNTA;SAN LUIS;Femenino;1982;ARGENTINA;100;74;ARG
DENUNCIA DE ROBO O HURTO;DEN-6274;12/1/2024;8/11/2006;4023;MORTEROS;Córdoba;Nacional;2006;20;PICK UP;68;TOYOTA;21;HILUX 4X2 CABINA SIMPLE DX 2.5 TD;1;Privado;Física;VILLA ALLENDE;CORDOBA;Masculino;1999;ARGENTINA;100;14;ARG
DENUNCIA DE ROBO O HURTO;DEN-2312;19/1/2024;20/9/2017;4019;LA CARLOTA;Córdoba;Nacional;2017;20;PICK UP;19;FORD;YU;NUEVA RANGER DC 4X2 XL 2.2L D;1;Privado;Física;HUANCHILLA;CORDOBA;Masculino;1949;ARGENTINA;100;14;ARG
DENUNCIA DE ROBO O HURTO;DEN-541;31/1/2024;8/8/2022;4057;VILLA MARIA Nº 3;Córdoba;Nacional;2022;20;PICK UP;53;VOLKSWAGEN;8K;AMAROK COMFORTLINE 4X2 2.0L TDI 180 CV;1;Privado;Física;VILLA NUEVA;CORDOBA;Femenino;1978;ARGENTINA;100;14;ARG
DENUNCIA DE ROBO O HURTO;DEN-5791;18/1/2024;11/3/2008;1294;LA PLATA;Buenos Aires;Nacional;2008;20;PICK UP;68;TOYOTA;37;HILUX 4X4 CABINA DOBLE DX PACK 2.5 TD;1;Privado;Física;CITY BELL;BUENOS AIRES;Masculino;1980;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-3779;8/1/2024;3/9/2013;1257;MORENO;Buenos Aires;Nacional;2013;20;PICK UP;53;VOLKSWAGEN;UN;AMAROK 2.0L TDI 180 CV 4X4 060;1;Privado;Física;FRANCISCO ALVAREZ;BUENOS AIRES;Femenino;1983;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-1012;30/1/2024;23/4/2021;13016;MENDOZA;Mendoza;Nacional;2021;20;PICK UP;68;TOYOTA;BH;HILUX 4X4 DC SRX 2.8 TDI 6 AT;1;Privado;Física;GODOY CRUZ;MENDOZA;Masculino;1959;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-8130;4/1/2024;1/10/2001;15001;NEUQUEN;Neuquén;Nacional;2001;20;PICK UP;68;TOYOTA;10;HILUX 4X2 CABINA DOBLE DX 3.0D;1;Privado;Física;NEUQUEN;NEUQUEN;Masculino;1996;ARGENTINA;100;58;ARG
DENUNCIA DE ROBO O HURTO;DEN-4913;11/1/2024;30/7/2010;14014;MONTECARLO;Misiones;Nacional;2010;20;PICK UP;53;VOLKSWAGEN;MY;AMAROX 2.0L TDI 4X2 1H2;1;Privado;Física;MONTECARLO;MISIONES;No identificado;1997;ARGENTINA;100;54;ARG
DENUNCIA DE ROBO O HURTO;DEN-3877;30/1/2024;19/6/2013;6008;VILLA ANGELA;Chaco;Nacional;2013;20;PICK UP;19;FORD;WP;RANGER2 DC 4X2 XLS 3.2L D;1;Privado;Física;SAN BERNARDO;CHACO;Masculino;1967;ARGENTINA;100;22;ARG
DENUNCIA DE ROBO O HURTO;DEN-6886;3/1/2024;25/2/2005;1246;LA PLATA;Buenos Aires;Nacional;2005;20;PICK UP;19;FORD;SB;RANGER DC 4X2 XL PLUS 2.8L D;1;Privado;Física;LA PLATA;BUENOS AIRES;No identificado;1988;PARAGUAY;100;6;PRY
DENUNCIA DE ROBO O HURTO;DEN-2642;15/1/2024;21/10/2016;1251;LANUS;Buenos Aires;Nacional;2016;20;PICK UP;19;FORD;YU;NUEVA RANGER DC 4X2 XL 2.2L D;1;Privado;Física;LANUS ESTE;BUENOS AIRES;Masculino;1972;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-5390;23/1/2024;21/4/2009;15003;ZAPALA;Neuquén;Nacional;2009;20;PICK UP;19;FORD;TA;RANGER DC 4X2 XL 3.0      /2009;1;Privado;Física;ZAPALA;NEUQUEN;Masculino;1961;ARGENTINA;100;58;ARG
DENUNCIA DE ROBO O HURTO;DEN-7918;23/1/2024;20/5/2002;13020;MENDOZA;Mendoza;Nacional;2002;20;PICK UP;19;FORD;PC;RANGER XL C/C 4X2 2.8L D;1;Privado;Física;EL ALGARROBAL;MENDOZA;Masculino;1953;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-2671;15/1/2024;22/9/2016;13034;GODOY CRUZ;Mendoza;Nacional;2016;20;PICK UP;53;VOLKSWAGEN;WF;AMAROK 2.0L TDI 140 CV 4X2 870;1;Privado;Física;GODOY CRUZ;MENDOZA;Femenino;1954;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-9080;24/1/2024;16/3/1999;1246;LA PLATA;Buenos Aires;Nacional;1999;20;PICK UP;19;FORD;KH;RANGER XL C/C 4X4 D;1;Privado;Física;LA PLATA;BUENOS AIRES;Masculino;1984;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-7969;12/1/2024;19/3/2002;1257;MORENO;Buenos Aires;Nacional;2002;20;PICK UP;19;FORD;PB;RANGER XL 4X2 2.8L D F-TRU;1;Privado;Física;MORENO;BUENOS AIRES;Masculino;1961;CHILE;100;6;CHL
DENUNCIA DE ROBO O HURTO;DEN-8029;23/1/2024;29/1/2002;13011;MENDOZA;Mendoza;Nacional;2002;20;PICK UP;68;TOYOTA;11;HILUX 4X2 CABINA DOBLE SRV 3.0 D;1;Privado;Física;2ª SECCIÓN BARRIO CÍVICO;MENDOZA;Femenino;1985;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-12341;8/1/2024;26/3/1990;14016;ARISTOBULO DEL VALLE;Misiones;Nacional;1990;20;PICK UP;34;PEUGEOT;08;PUP 504 GD-PV;1;Privado;Física;C.GDE.-CAINGUAS;MISIONES;Masculino;1975;ARGENTINA;100;54;ARG
DENUNCIA DE ROBO O HURTO;DEN-4299;30/1/2024;23/4/2012;1247;GENERAL RODRIGUEZ;Buenos Aires;Nacional;2012;20;PICK UP;68;TOYOTA;50;HILUX 4X2 CABINA DOBLE DX PACK 2.5 TDI;1;Privado;Física;GENERAL RODRIGUEZ;BUENOS AIRES;Masculino;1965;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-2671;15/1/2024;22/9/2016;13034;GODOY CRUZ;Mendoza;Nacional;2016;20;PICK UP;53;VOLKSWAGEN;WF;AMAROK 2.0L TDI 140 CV 4X2 870;1;Privado;Física;GODOY CRUZ;MENDOZA;Femenino;1954;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-9203;24/1/2024;13/11/1998;1260;FLORENCIO VARELA;Buenos Aires;Nacional;1998;20;PICK UP;68;TOYOTA;01;HILUX 4X2 CABINA SIMPLE STD;1;Privado;Física;FLORENCIO VARELA;BUENOS AIRES;Masculino;1981;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-7169;11/1/2024;26/5/2004;1255;LOMAS DE ZAMORA;Buenos Aires;Nacional;2004;20;PICK UP;19;FORD;PG;RANGER XLT LTD C/C 4X4 2.8L D;1;Privado;Física;TEMPERLEY*LOMAS DE ZAMORA;BUENOS AIRES;No identificado;1973;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-4177;17/1/2024;10/8/2012;7001;COMODORO RIVADAVIA;Chubut;Nacional;2012;20;PICK UP;68;TOYOTA;41;HILUX 4X2 CABINA DOBLE SRV 3.0 TDI C/CUERO;1;Privado;Física;COMODORO RIVADAVIA;CHUBUT;Masculino;1963;ARGENTINA;100;26;ARG
DENUNCIA DE ROBO O HURTO;DEN-2184;23/1/2024;30/1/2018;2058;CAPITAL FEDERAL;Ciudad Autónoma de Bs.As.;Nacional;2018;20;PICK UP;68;TOYOTA;AT;HILUX 4X2 D/C SRX 2.8 TDI 6 A/T;1;Privado;Física;C.AUTONOMA DE BS.AS;C.AUTONOMA DE BS.AS;Femenino;1985;ARGENTINA;100;2;ARG
DENUNCIA DE ROBO O HURTO;DEN-7394;25/1/2024;28/10/2003;13016;MENDOZA;Mendoza;Nacional;2003;20;PICK UP;19;FORD;PF;RANGER XLT C/C 4X4 2.8L D;1;Privado;Física;EL ALGARROBAL;MENDOZA;No identificado;1987;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-7222;10/1/2024;2/4/2004;15004;NEUQUEN;Neuquén;Nacional;2004;20;PICK UP;19;FORD;PG;RANGER XLT LTD C/C 4X4 2.8L D;1;Privado;Física;NEUQUÉN;NEUQUEN;Masculino;1980;ARGENTINA;100;58;ARG
DENUNCIA DE ROBO O HURTO;DEN-2266;3/1/2024;20/10/2017;13013;MENDOZA;Mendoza;Nacional;2017;20;PICK UP;68;TOYOTA;AD;HILUX 4X2 D/C DX 2.4 TDI 6 M/T;1;Privado;Física;UGARTECHE;MENDOZA;Masculino;1969;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-7015;2/1/2024;18/10/2004;21039;ROSARIO;Santa Fe;Nacional;2004;20;PICK UP;19;FORD;PC;RANGER XL C/C 4X2 2.8L D;1;Privado;Física;ROSARIO;SANTA FE;Masculino;1984;ARGENTINA;100;82;ARG
DENUNCIA DE ROBO O HURTO;DEN-3456;15/1/2024;30/7/2014;7004;SARMIENTO;Chubut;Nacional;2014;20;PICK UP;19;FORD;WR;RANGER2 DC 4X2 XLT 3.2L D;1;Privado;Física;PUERTO MADERO;CHUBUT;Masculino;1972;ARGENTINA;100;26;ARG
DENUNCIA DE ROBO O HURTO;DEN-8367;18/1/2024;20/2/2001;13012;MENDOZA;Mendoza;Nacional;2001;20;PICK UP;68;TOYOTA;08;HILUX 4X4 CABINA DOBLE SR5/2001;1;Privado;Física;GODOY CRUZ;MENDOZA;Masculino;1971;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-3707;2/1/2024;8/11/2013;1250;ITUZAINGO;Buenos Aires;Nacional;2013;20;PICK UP;19;FORD;WH;RANGER2 DC 4X2 XL SAFETY 2.2L D;1;Privado;Física;COSQUI­N;BUENOS AIRES;Masculino;1987;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-8767;8/1/2024;7/1/2000;21073;VILLA GOBERNADOR GÁLVEZ;Santa Fe;Nacional;2000;18;SEDAN;17;FIAT;20;PALIO EL 3P;1;Privado;Física;VILLA GOBERNADOR GÁLVEZ;SANTA FE;Masculino;1993;ARGENTINA;100;82;ARG
DENUNCIA DE ROBO O HURTO;DEN-6408;22/1/2024;7/7/2006;21073;VILLA GOBERNADOR GÁLVEZ;Santa Fe;Nacional;2006;18;SEDAN;08;CHEVROLET;BA;CORSA 3 PTAS CITY 1.6 N;1;Privado;Física;VILLA GDOR GALVEZ;SANTA FE;Femenino;1995;ARGENTINA;100;82;ARG
DENUNCIA DE ROBO O HURTO;DEN-8743;22/1/2024;14/2/2000;21068;ROSARIO;Santa Fe;Nacional;2000;18;SEDAN;17;FIAT;72;PALIO S 1.3 MPI (3P);1;Privado;Física;GDRO BAIGORRIA;SANTA FE;Masculino;1959;ARGENTINA;100;82;ARG
DENUNCIA DE ROBO O HURTO;DEN-8771;22/1/2024;17/1/2000;21048;SAN LORENZO;Santa Fe;Nacional;2000;18;SEDAN;17;FIAT;72;PALIO S 1.3 MPI (3P);1;Privado;Física;CAPITAN BERMUDEZ;SANTA FE;Femenino;1990;ARGENTINA;100;82;ARG
DENUNCIA DE ROBO O HURTO;DEN-8779;5/1/2024;23/12/1999;21057;ROSARIO;Santa Fe;Nacional;1999;18;SEDAN;53;VOLKSWAGEN;43;GOL 1.6;1;Privado;Física;ROSARIO;SANTA FE;Femenino;1982;ARGENTINA;100;82;ARG
DENUNCIA DE ROBO O HURTO;DEN-9061;12/1/2024;23/3/1999;21044;ROSARIO;Santa Fe;Nacional;1999;18;SEDAN;37;RENAULT;CC;CLIO RL DIESEL 3 PTAS.;1;Privado;Física;ROSARIO;SANTA FE;No identificado;1986;ARGENTINA;100;82;ARG
DENUNCIA DE ROBO O HURTO;DEN-4890;2/1/2024;13/8/2010;1189;FLORENCIO VARELA;Buenos Aires;Nacional;2010;18;SEDAN;34;PEUGEOT;JF;207 COMPACT XR 1.4 3P;1;Privado;Física;FLORENCIO VARELA;BUENOS AIRES;No identificado;1984;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-8966;24/1/2024;8/7/1999;1175;LANUS;Buenos Aires;Nacional;1999;18;SEDAN;37;RENAULT;DT;CLIO RN 3 PTAS PACK AA DA;1;Privado;Física;LANÚS ESTE;BUENOS AIRES;Femenino;1993;ARGENTINA;50;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-10382;18/1/2024;16/8/1995;1189;FLORENCIO VARELA;Buenos Aires;Nacional;1995;18;SEDAN;53;VOLKSWAGEN;11;GOL CL;1;Privado;Física;FLORENCIO VARELA;BUENOS AIRES;Masculino;1983;PARAGUAY;100;6;PRY
DENUNCIA DE ROBO O HURTO;DEN-10111;15/1/2024;10/5/1996;1232;HURLINGHAM;Buenos Aires;Nacional;1996;18;SEDAN;53;VOLKSWAGEN;11;GOL GLD;1;Privado;Física;WILLIAM C. MORRIS;BUENOS AIRES;Masculino;1976;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-9766;5/1/2024;10/4/1997;1139;SAN ISIDRO;Buenos Aires;Nacional;1997;18;SEDAN;53;VOLKSWAGEN;11;GOL GLI;1;Privado;Física;MARTINEZ;BUENOS AIRES;Masculino;2003;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-9172;17/1/2024;7/12/1998;1144;QUILMES;Buenos Aires;Nacional;1998;18;SEDAN;17;FIAT;46;UNO S (1,7 D.- 3 P.);1;Privado;Física;QUILMES;BUENOS AIRES;Masculino;1975;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-5299;19/1/2024;17/7/2009;1228;LA PLATA;Buenos Aires;Nacional;2009;18;SEDAN;08;CHEVROLET;CE;CORSA CLASSIC 3 PTAS GL 1.4N;1;Privado;Física;SAN LORENZO;BUENOS AIRES;No identificado;1985;ARGENTINA;50;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-8709;4/1/2024;1/3/2000;1211;QUILMES;Buenos Aires;Nacional;2000;18;SEDAN;08;CHEVROLET;77;CORSA 3 DOOR WIND 1.6 MPFI;1;Privado;Física;SAN FRANCISCO SOLANO;BUENOS AIRES;No identificado;1993;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-6655;22/1/2024;2/11/2005;1133;SAN MIGUEL;Buenos Aires;Nacional;2005;18;SEDAN;34;PEUGEOT;EH;206 XS 1.6 3P ABS;1;Privado;Física;BELLA VISTA;BUENOS AIRES;Masculino;1987;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-9601;2/1/2024;19/9/1997;1221;PILAR;Buenos Aires;Nacional;1997;18;SEDAN;53;VOLKSWAGEN;11;GOL GLI;1;Privado;Física;PRESIDENTE DERQUI;BUENOS AIRES;Femenino;1988;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-9807;22/1/2024;17/3/1997;1090;SAN MIGUEL;Buenos Aires;Nacional;1997;18;SEDAN;53;VOLKSWAGEN;11;GOL CLD;1;Privado;Física;SAN MIGUEL;BUENOS AIRES;No identificado;1978;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-5033;15/1/2024;5/4/2010;1124;LANUS;Buenos Aires;Nacional;2010;18;SEDAN;08;CHEVROLET;CF;CORSA CLASSIC 3 PTAS GLS 1.4N;1;Privado;Física;R. DE ESCALADA.-LANUS;BUENOS AIRES;No identificado;1974;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-4738;15/1/2024;25/1/2011;1029;ESTEBAN ECHEVERRIA;Buenos Aires;Nacional;2011;18;SEDAN;08;CHEVROLET;DA;CLASSIC 3 PTAS LT 1.4N;1;Privado;Física;ESTEBAN ECHEVERRIA;BUENOS AIRES;Masculino;1988;ARGENTINA;50;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-9455;29/1/2024;11/3/1998;1210;ESTEBAN ECHEVERRIA;Buenos Aires;Nacional;1998;18;SEDAN;53;VOLKSWAGEN;11;GOL GLD;1;Privado;Física;MONTE GRANDE;BUENOS AIRES;Masculino;1973;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-9881;8/1/2024;19/12/1996;1239;QUILMES;Buenos Aires;Nacional;1996;18;SEDAN;53;VOLKSWAGEN;11;GOL GLD;1;Privado;Física;SAN FRANCISCO SOLANO;BUENOS AIRES;Masculino;1991;ARGENTINA;100;6;ARG
