tramite_tipo;ID_Denuncia;tramite_fecha;fecha_inscripcion_inicial;registro_seccional_codigo;registro_seccional_descripcion;registro_seccional_provincia;automotor_origen;automotor_anio_modelo;automotor_tipo_codigo;automotor_tipo_descripcion;automotor_marca_codigo;automotor_marca_descripcion;automotor_modelo_codigo;automotor_modelo_descripcion;automotor_uso_codigo;automotor_uso_descripcion;titular_tipo_persona;titular_domicilio_localidad;titular_domicilio_provincia;titular_genero;titular_anio_nacimiento;titular_pais_nacimiento;titular_porcentaje_titularidad;titular_domicilio_provincia_id;titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO;DEN-1968;11/1/2024;22/8/2018;1266;MALVINAS ARGENTINAS;Buenos Aires;Protocolo 21;2018;82;PICK UP;112;RENAULT;A31;DUSTER OROCH DYNAMIQUE 1.6;1;Privado;Física;INGENIERO PABLO NOGUÉS;BUENOS AIRES;Femenino;1983;ARGENTINA;50;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-2681;25/1/2024;22/9/2016;8003;CONCEPCION DEL URUGUAY;Entre Ríos;Protocolo 21;2016;82;PICK UP;044;FIAT;714;STRADA  ADVENTURE 1.6;1;Privado;Física;CONCEPCION DEL URUGUAY;ENTRE RIOS;Masculino;1989;ARGENTINA;100;30;ARG
DENUNCIA DE ROBO O HURTO;DEN-2780;17/1/2024;7/6/2016;1293;PILAR;Buenos Aires;Protocolo 21;2016;82;PICK UP;112;RENAULT;A31;DUSTER OROCH DYNAMIQUE 1.6;1;Privado;Física;PILAR;BUENOS AIRES;Femenino;1951;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-2455;22/1/2024;3/5/2017;17011;SALTA;Salta;Protocolo 21;2017;82;PICK UP;024;CHEVROLET;580;S10 2.8TD 4X2 LT;1;Privado;Física;CAMPO LA CALDERILLA KM 1618;SALTA;No identificado;1959;ARGENTINA;100;66;ARG
DENUNCIA DE ROBO O HURTO;DEN-3205;15/1/2024;7/4/2015;13021;MENDOZA;Mendoza;Protocolo 21;2015;82;PICK UP;136;VOLKSWAGEN;508;SAVEIRO 1.6L GP;1;Privado;Física;SAN FCO. DEL MONTE;MENDOZA;Masculino;1952;ARGENTINA;100;50;ARG
DENUNCIA DE ROBO O HURTO;DEN-1133;3/1/2024;26/11/2020;1244;LA MATANZA;Buenos Aires;Importado;2019;82;PICK UP;N60;GREAT WALL;003;WINGLE 5 STANDARD 4WD;1;Privado;Física;RAMOS MEJÍA;BUENOS AIRES;Masculino;1979;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-2470;29/1/2024;25/4/2017;1308;MERLO;Buenos Aires;Protocolo 21;2017;82;PICK UP;112;RENAULT;A39;DUSTER OROCH OUTSIDER PLUS 2.0;1;Privado;Física;PONTEVEDRA;BUENOS AIRES;Masculino;1975;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-5475;26/1/2024;29/1/2009;1141;TIGRE;Buenos Aires;Protocolo 21;2009;81;PICK UP;044;FIAT;652;STRADA ADVENTURE 1.8MPI 8V;1;Privado;Física;GENERAL PACHECO;BUENOS AIRES;Masculino;1966;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-3352;15/1/2024;11/11/2014;1271;JOSE C. PAZ;Buenos Aires;Protocolo 21;2014;81;PICK UP;136;VOLKSWAGEN;508;SAVEIRO 1.6L GP;1;Privado;Física;JOSÉ C. PAZ;BUENOS AIRES;Femenino;1952;ARGENTINA;100;6;ARG
DENUNCIA DE ROBO O HURTO;DEN-2381;31/1/2024;25/7/2017;1090;SAN MIGUEL;Buenos Aires;Importado;2017;80;PICK UP;C54;LIFAN;033;FOISON;1;Privado;Física;SAN MIGUEL;BUENOS AIRES;Masculino;1976;ARGENTINA;100;6;ARG
